Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,TituloReviewLimpio,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,SubjetividadConFrases,SubjetividadConLLM,TopicoConBERTopic,TopicoConFASTopic,labels_parsed,num_labels,TopicoConLLM_gpt-4o-mini,TopicoConLLM_gpt-4.1-mini
Tour por el club de playa y esnórquel,"El club de playa es fantástico, y Julio nos reservó un tour de snorkel increíble con David, Chippy y Cecilia. El tour y los guías fueron los mejores. Recomendamos encarecidamente este impresionante recorrido, que concluye en el hermoso El Cielo.",5,2020-07-01,Cancun,Playa Tortugas,"Tour por el club de playa y esnórquel. El club de playa es fantástico, y Julio nos reservó un tour de snorkel increíble con David, Chippy y Cecilia. El tour y los guías fueron los mejores. Recomendamos encarecidamente este impresionante recorrido, que concluye en el hermoso El Cielo.",tour por el club de playa y esnorquel el club de playa ser fantastico y julio reservar uno tour de snorkel increible con david chippy y ceciliar el tour y el guia ser el mejor recomendar encarecidamente este impresionante recorrido que concluir en el hermoso el cielo,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,"[8, 9]",2,"[6, 9, 10]","[9, 10]"
Hermosa playa ,Es una de las playas más lindas de Cancun. La temperatura y el color del agua valen por si solas el paseo. ,4,2020-01-01,Cancun,Playa Tortugas,Hermosa playa. Es una de las playas más lindas de Cancun. La temperatura y el color del agua valen por si solas el paseo.,playa ser uno de el playa mas de cancun el temperatura y el color del agua valer por si solas el paseo,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Playas,[9],1,[9],[9]
Cuidemos las playas publicas,"Visité Playa Tortugas en Diciembre con mi familia en temporada alta, obviamente había bastante gente, fiesta, ruido y basura... tanto que me recordó al Acapulco de hoy, es una pena que un lugar tan bello se esté deteriorando por la irresponsabilidad de la gente que la visita. Llegando al estacionamiento olía raro, feo por no decir mas, pero decidimos conocer esta playa por su ubicación y por ser de las pocas playas publicas con oleaje tranquilo y servicios de comida y baños en la zona hotelera.La playa es pequeña con oleaje ideal para niños o nadadores principiantes y aun conserva los colores turquesa del Caribe mexicano, pero al tener una terminal de ferrys rumbo a Isla Mujeres se concentra mayor gente y por ende contaminación. Nade un buen rato en la playa y me dio gusto ver algunos peces y otros animalitos marinos en las rocas cercanas al risco de piedras, pero mientras nadaba y caminaba por la playa, recogí vasos de plástico, popotes, latas de cerveza y envolturas de frituras y solo encontré 2 botes de basura en el acceso principal a la playa !!!Creo que a Cancun le hace falta urgentemente mejores medidas de cuidado y protección ambiental, limpieza de playas, prohibición de popotes y plásticos y sobretodo un programa efectivo de educación ambiental para todos los que visitamos esas hermosas playas caribeñas, y digo urgente porque va en detrimento la flora, fauna y belleza de la región, así como hace años empezó el deterioro de aquel bello Acapulco... ""Pongamos nuestro granito de arena cada uno y logremos el cambio""Gracias!",3,2019-12-01,Cancun,Playa Tortugas,"Cuidemos las playas publicas. Visité Playa Tortugas en Diciembre con mi familia en temporada alta, obviamente había bastante gente, fiesta, ruido y basura... tanto que me recordó al Acapulco de hoy, es una pena que un lugar tan bello se esté deteriorando por la irresponsabilidad de la gente que la visita. Llegando al estacionamiento olía raro, feo por no decir mas, pero decidimos conocer esta playa por su ubicación y por ser de las pocas playas publicas con oleaje tranquilo y servicios de comida y baños en la zona hotelera.La playa es pequeña con oleaje ideal para niños o nadadores principiantes y aun conserva los colores turquesa del Caribe mexicano, pero al tener una terminal de ferrys rumbo a Isla Mujeres se concentra mayor gente y por ende contaminación. Nade un buen rato en la playa y me dio gusto ver algunos peces y otros animalitos marinos en las rocas cercanas al risco de piedras, pero mientras nadaba y caminaba por la playa, recogí vasos de plástico, popotes, latas de cerveza y envolturas de frituras y solo encontré 2 botes de basura en el acceso principal a la playa !!!Creo que a Cancun le hace falta urgentemente mejores medidas de cuidado y protección ambiental, limpieza de playas, prohibición de popotes y plásticos y sobretodo un programa efectivo de educación ambiental para todos los que visitamos esas hermosas playas caribeñas, y digo urgente porque va en detrimento la flora, fauna y belleza de la región, así como hace años empezó el deterioro de aquel bello Acapulco... ""Pongamos nuestro granito de arena cada uno y logremos el cambio""Gracias!.",cuider el playa visitar playa en diciembre con mi familia en temporada obviamente habia bastante gente fiesto ruido y basura tanto que yo recordar al acapulco de hoy ser uno pena que uno lugar tanto bello él este deteriorar por el irresponsabilidad de el gente que el visita llegar al estacionamiento olia raro feo por no decir mas pero decidir conocer este playa por su ubicacion y por ser de el poco playa publica con oleaje tranquilo y servicio de comida y bano en el zona hotelero el playa ser pequena con oleaje ideal para nino o nadador principiant y aun conservar el color turquesar del caribe mexicano pero al tener uno terminal de ferrys rumbo a isla mujer él concentrar mayor gente y por ende contaminacion nadir uno buen rato en el playa y yo dar gusto ver alguno pez y otro animalito marino en el roca cercano al risco de piedra pero mientras nadar y caminar por el playa recogi vaso de plastico popot lata de cerveza y envoltura de fritura y solo encontre bote de basura en el acceso principal a el playa creer que a cancun él hacer falta urgentemente mejor medida de cuidado y proteccion ambiental limpieza de playa prohibicion de popot y plastico y sobretodir uno programa efectivo de educacion ambiental para todo el que visitar ese hermosa playa caribena y decir urgente porque ir en detrimento el flora fauna y belleza de el region asi como hacer ano empezo el deterioro de aquel bello acapulco poner nuestro granito de arena cada uno y logrer el cambio gracias,Neutro,Positivo,Negativo,Subjetivo,Mixta,Mixta,,Playas,"[8, 9]",2,"[9, 10, 11, 12]","[1, 8, 9, 10]"
Lindo lugar para pasar el dia,"La playa es pequeña, con oleaje muy leve, ideal para ir con niños, y con lugares para comer y tomar una cerveza, ahí mismo hay baños públicos y tiendas de conveniencia, cuenta con estacionamiento aunque se llena muy rápido y hay paradero de autobuses.",4,2020-01-01,Cancun,Playa Tortugas,"Lindo lugar para pasar el dia. La playa es pequeña, con oleaje muy leve, ideal para ir con niños, y con lugares para comer y tomar una cerveza, ahí mismo hay baños públicos y tiendas de conveniencia, cuenta con estacionamiento aunque se llena muy rápido y hay paradero de autobuses.",lugar para pasar el dia el playa ser con oleaje mucho para ir con nino y con lugar para comer y tomar uno cerveza ahi mismo haber bano y tienda de conveniencia contar con estacionamiento aunque él llenar mucho y haber paradero de autobús,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Compras y Lujo,"[1, 2, 9]",3,"[0, 1, 2, 9]","[1, 2, 5, 9]"
Jorge ramirez sunrise travel estafan!,En parqueo venden el pase catamaran es estafa para ir isla mujeres jorge ramirez de sunrise travel o kiddie travels pagamos $140 dls p comida y ver tiburon y peces es falso te quieren enviar en panga sin chalecos habian 11 personas con niños y no tenian seguridad o chalecos nos quejamos y nos amenazaron,1,2019-12-01,Cancun,Playa Tortugas,Jorge ramirez sunrise travel estafan!. En parqueo venden el pase catamaran es estafa para ir isla mujeres jorge ramirez de sunrise travel o kiddie travels pagamos $140 dls p comida y ver tiburon y peces es falso te quieren enviar en panga sin chalecos habian 11 personas con niños y no tenian seguridad o chalecos nos quejamos y nos amenazaron.,jorge sunrisir estafan en parqueo vender el pase catamar ser estafa para ir isla mujer jorge ramirez de sunrisir travel o kiddie travels pagar dl p comida y ver tiburon y pez ser falso tú querer enviar en panga sin chaleco habiar persona con nino y no teniar seguridad o chaleco yo quejar y yo amenazar,Negativo,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Actividades Acuáticas,"[11, 12]",2,"[2, 10, 11]","[2, 9, 10, 11]"
Hermosa,"Lleve a mi familia a conocerla y se enamoraron de la tranquilidad tanto de personas como del mar, parece una alberca natural... mi sobrino no quería salir de ahí y mi mamá que no es mucho de entrar al mar lo disfruto muchísimo también, regresaría sin dudarlo.",5,2019-09-01,Cancun,Playa Tortugas,"Hermosa. Lleve a mi familia a conocerla y se enamoraron de la tranquilidad tanto de personas como del mar, parece una alberca natural... mi sobrino no quería salir de ahí y mi mamá que no es mucho de entrar al mar lo disfruto muchísimo también, regresaría sin dudarlo.",llevar a mi familia a conocer él y él enamorar de el tranquilidad tanto de persona como del mar parecer uno alberca mi sobrino no querio salir de ahi y mi mama que no ser mucho de entrar al mar él disfrutar muchisimo tambien regresario sin dudar él,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Transporte Marítimo,[9],1,[9],[9]
EXCELENTE LUGAR ,"Un excelente y bello lugar para disfrutar en compañía de los amigos de las frescas aguas del mar Caribe excelente vista restaurantes con platillos muy deliciosos a precios bastante accesibles cercanos al lugar y por un bello paisaje qué más podemos pedir en esta playa tortugas la diversión la pone uno, es un lugar apto para visitar solo o acompañado ya sea por la pareja, los amigos, familiares y demás, se llega a esta playa muy fácil a bordo de la ruta que va a la zona hotelera se dice que si llevas tu auto el estacionamiento de esta playa tiene un costo de $100 y además el pagar tu estacionamiento te hace acreedor a una pequeña sombrilla para que no estés a la intemperie en esta Blanca playa. Sin duda una playa con visita obligada si vienes a Cancun. Por cierto aquí esta libre 100% del molesto sargazo, por alguna razón es de las. Pocas playas que no ha sido invadida por esa alga. ",5,2019-08-01,Cancun,Playa Tortugas,"EXCELENTE LUGAR. Un excelente y bello lugar para disfrutar en compañía de los amigos de las frescas aguas del mar Caribe excelente vista restaurantes con platillos muy deliciosos a precios bastante accesibles cercanos al lugar y por un bello paisaje qué más podemos pedir en esta playa tortugas la diversión la pone uno, es un lugar apto para visitar solo o acompañado ya sea por la pareja, los amigos, familiares y demás, se llega a esta playa muy fácil a bordo de la ruta que va a la zona hotelera se dice que si llevas tu auto el estacionamiento de esta playa tiene un costo de $100 y además el pagar tu estacionamiento te hace acreedor a una pequeña sombrilla para que no estés a la intemperie en esta Blanca playa. Sin duda una playa con visita obligada si vienes a Cancun. Por cierto aquí esta libre 100% del molesto sargazo, por alguna razón es de las. Pocas playas que no ha sido invadida por esa alga.",excelente lugar uno excelente y bello lugar para disfrutar en compania de el amigo de el fresco agua del mar caribir excelente vista restaurante con platil él mucho delicioso a precio bastante accesib él cercano al lugar y por uno paisaje que mas poder pedir en este playa tortuga el diversion él poner uno ser uno lugar apto para visitar solo o acompanado ya ser por el pareja el amigo familiar y demas él llegar a este playa mucho facil a bordo de el ruta que ir a el zona hotelero él decir que si llevar tu auto el estacionamiento de este playa tener uno costo de y adema el pagar tu estacionamiento tú hacer acreedor a uno pequén sombrilla para que no estser a el intemperie en este blanco playa sin duda uno playa con visita obligado si venir a cancun por cierto aqui este libre del molesto sargazo por alguno razon ser de el poco playa que no haber ser invadir por ese alga,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Playas,"[1, 3, 9, 12]",4,"[1, 2, 9]","[1, 2, 8, 9]"
Gracias Romel,"Estuvo increíble! Romel excelente guía!! Nos atendieron bien en la entrada salimos a tiempo estuvo genial el show maya, las indicaciones fueron claras",5,2025-09-01,Cancun,Puerto Maya Cancun,"Gracias Romel. Estuvo increíble! Romel excelente guía!! Nos atendieron bien en la entrada salimos a tiempo estuvo genial el show maya, las indicaciones fueron claras.",gracias romel estar romel guia yo atender bien en el entrada salimos a tiempo estar el show el indicación ser,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,"[3, 10]",2,"[3, 10]","[3, 10]"
Somos de costa rica y la experiencia de inicio a fin estuvo muy buena vale la pena,Muy buena👍 pura vida 💛 divertido y genial. Recomendados. Mi esposo no sabe nadar y con el chaleco pudo hacerlo sin problemas,5,2025-09-01,Cancun,Puerto Maya Cancun,Somos de costa rica y la experiencia de inicio a fin estuvo muy buena vale la pena. Muy buena👍 pura vida 💛 divertido y genial. Recomendados. Mi esposo no sabe nadar y con el chaleco pudo hacerlo sin problemas.,ser de costa y el experiencia de inicio a fin estar mucho valer el pena mucho buen vida y mi esposo no saber nadar y con el chaleco poder hacer él sin problema,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida Marina,"[6, 9]",2,[6],"[9, 10]"
Muy bien trato y organización.,"Muy buena experiencia con el Capitán Cristian, la pasé bien y me agradó… el tiempo de recorrido y s adecuado… todo muy bien",5,2025-08-01,Cancun,Puerto Maya Cancun,"Muy bien trato y organización. Muy buena experiencia con el Capitán Cristian, la pasé bien y me agradó… el tiempo de recorrido y s adecuado… todo muy bien.",mucho bien tratar y organizacion mucho experiencia con el capitan el pase bien y yo agrar el tiempo de recorrido y s todo mucho bien,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Excursiones Guiadas,[10],1,[10],"[2, 10]"
Jet SKY,"Es una experiencia increíble la atención del Capitán Charly la mejor , muy atento, una persona muy especial, las motos estaban en perfectas condiciones con una amplia zona para recorrer La recomiendo al 100 para todo aquel que desee una buena experiencia para recordar",5,2025-08-01,Cancun,Puerto Maya Cancun,"Jet SKY. Es una experiencia increíble la atención del Capitán Charly la mejor , muy atento, una persona muy especial, las motos estaban en perfectas condiciones con una amplia zona para recorrer La recomiendo al 100 para todo aquel que desee una buena experiencia para recordar.",jet sky ser uno experiencia el atencion del capitar charly el mucho uno persona mucho el moto estar en condición con uno zona para recorrer el recomeir al para todo aquel que desear uno experiencia para recordar,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 10]"
Nos fascinó regresaríamos de nuevo,"Excelente y de nuestro capitán Fox la atención 10/10 , es hermoso el tour y el paseo en barquito ni se diga . Cada año venimos a Cancún volveríamos a tomar el tour .",5,2025-08-01,Cancun,Puerto Maya Cancun,"Nos fascinó regresaríamos de nuevo. Excelente y de nuestro capitán Fox la atención 10/10 , es hermoso el tour y el paseo en barquito ni se diga . Cada año venimos a Cancún volveríamos a tomar el tour .",yo fascinar regresariamos de y de nuestro capitar fox el atencion ser el tour y el paseo en barquito ni él decir cada ano venir a cancun volveriamos a tomar el tour,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,"[9, 10]",2,"[2, 10]","[2, 9, 10]"
Jet Ski,"Capitán charly era increíble, nos ayudó a mí y amigo cada vez que nos caíamos de las motos acuáticas. Recomendaría 1000% a amigos y familiares para salir de nuevo.",5,2025-08-01,Cancun,Puerto Maya Cancun,"Jet Ski. Capitán charly era increíble, nos ayudó a mí y amigo cada vez que nos caíamos de las motos acuáticas. Recomendaría 1000% a amigos y familiares para salir de nuevo.",jet ski capitar charly ser yo ayudo a mi y amigo cada vez que yo caiar de el moto recomendario a amigo y familiar para salir de,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[6],1,[6],"[6, 9, 10]"
Fast and Funny,"Una actividad muy divertida y llena de adrenalina, vas muy rápido pero con la seguridad necesaria, además que el snorkeling es en un arrecife muy lindo",5,2025-08-01,Cancun,Puerto Maya Cancun,"Fast and Funny. Una actividad muy divertida y llena de adrenalina, vas muy rápido pero con la seguridad necesaria, además que el snorkeling es en un arrecife muy lindo.",fast and uno actividad mucho y de adrenalina vas mucho rapido pero con el seguridad necesario adema que el snorkeling ser en uno arrecife mucho lindo,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Actividades Acuáticas,"[6, 9]",2,"[6, 8, 9]","[6, 9, 11]"
Very good experience,Charly muy buena persona muy amable primera vez manejando jet ski y charly muy buen instructor los recomiendo mucho les doy un 10,5,2025-08-01,Cancun,Puerto Maya Cancun,Very good experience. Charly muy buena persona muy amable primera vez manejando jet ski y charly muy buen instructor los recomiendo mucho les doy un 10.,very experience charly mucho buen persona mucho amable primero vez manejar jet ski y charly mucho buen instructor el recomeir mucho él dar uno,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 10]"
Una experiencia para repetir sin duda,"Un experiencia muy buena. Desde la llegada, el show maya, el recorrido por la jungla.La lancha súper divertido y el snorkel muy bonita zona, con el coral, los peces y las estatuas. Nuestro capitán Fox súper  bien!!",5,2025-08-01,Cancun,Puerto Maya Cancun,"Una experiencia para repetir sin duda. Un experiencia muy buena. Desde la llegada, el show maya, el recorrido por la jungla.La lancha súper divertido y el snorkel muy bonita zona, con el coral, los peces y las estatuas. Nuestro capitán Fox súper  bien!!.",uno experiencia para repetir sin duda uno experiencia mucho desde el llegada el show el recorrido por el junglo el lancha super y el snorkel mucho zona con el coral el pez y el estatua nuestro capitar fox super bien,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,"[6, 9]",2,"[6, 9, 10]","[3, 8, 9, 10]"
Moto acuática súper divertida,"Brian y Charlie eran geniales, eran tan divertidos y nos ayudaron cuando nos dimos vuelta demasiado rápido y caímos! Recomiendo encarecidamente tanta diversión que era seguro y agradable",5,2025-08-01,Cancun,Puerto Maya Cancun,"Moto acuática súper divertida. Brian y Charlie eran geniales, eran tan divertidos y nos ayudaron cuando nos dimos vuelta demasiado rápido y caímos! Recomiendo encarecidamente tanta diversión que era seguro y agradable.",moto super briar y charlie ser ser tanto y yo ayudar cuando yo dar vuelta demasiado y caimos recomeir encarecidamente tanto diversion que ser y,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 9, 10]"
Waverunner,¡Gran instructor volverá para Waverunner de nuevo! Disfrutamos de la velocidad y los trucos. Seguro y servicial. Bonita zona y bar es agradable,5,2025-08-01,Cancun,Puerto Maya Cancun,Waverunner. ¡Gran instructor volverá para Waverunner de nuevo! Disfrutamos de la velocidad y los trucos. Seguro y servicial. Bonita zona y bar es agradable.,waverunner gran instructor volvera para waverunner de nuevo disfrutar de el velocidad y el truco seguro y servicial bonito zona y bar ser agradable,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,"[6, 10, 13]",3,"[1, 6, 10]","[6, 7, 9, 10]"
Un lugar paradisíaco para relajarte y pasar los mejores de tus días,"Espectacular lugar , super la atención del personal .recomendado 100%.vistas y paisajes hermosos. Nuestro guía Roberto el mejor de todos",5,2025-08-01,Cancun,Puerto Maya Cancun,"Un lugar paradisíaco para relajarte y pasar los mejores de tus días. Espectacular lugar , super la atención del personal .recomendado 100%.vistas y paisajes hermosos. Nuestro guía Roberto el mejor de todos.",uno lugar para relajarte y pasar el mejor de tu dia espectacular lugar super el atencion del personal recomendado vistas y paisaje hermoso nuestro guia roberto el mejor de todo,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Vida Nocturna,"[0, 8, 10]",3,"[0, 8, 10]","[8, 10]"
Una de las mejores experiencias que he tenido,Qué bonita experiencia. Lo mejor de todo fue el de los barcos. El capitán Chris era un buen tipo y nos ayudó mucho a mí y a mi familia.,5,2025-08-01,Cancun,Puerto Maya Cancun,Una de las mejores experiencias que he tenido. Qué bonita experiencia. Lo mejor de todo fue el de los barcos. El capitán Chris era un buen tipo y nos ayudó mucho a mí y a mi familia.,uno de el experiencia que haber tener que experiencia él de todo ser el de el barco el capitar chris ser uno tipo y yo ayudo mucho a mi y a mi familia,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,"[9, 10]",2,"[2, 10]","[2, 10]"
Gran tour con el capitán Fox,"El tour con el capitán Fox fue muy divertido y nos gustó mucho la experiencia. Fue muy amable, nos llevó a las estatuas y nos apoyó en todo momento. Lo recomiendo!",5,2025-08-01,Cancun,Puerto Maya Cancun,"Gran tour con el capitán Fox. El tour con el capitán Fox fue muy divertido y nos gustó mucho la experiencia. Fue muy amable, nos llevó a las estatuas y nos apoyó en todo momento. Lo recomiendo!.",tour con el capitar fox el tour con el capitar fox ser mucho y yo gusto mucho el experiencia ser mucho yo llevar a el estatua y yo apoyar en todo momento él recomeir,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Excursiones Guiadas,[10],1,[10],"[4, 10]"
Jungle tour,Padrísimo todooo! Y el servicio de Romel excelente ⭐️⭐️⭐️⭐️⭐️ sin duda lo volveríamos a hacer! La pasamos muy bien mis amigas y yo,5,2025-08-01,Cancun,Puerto Maya Cancun,Jungle tour. Padrísimo todooo! Y el servicio de Romel excelente ⭐️⭐️⭐️⭐️⭐️ sin duda lo volveríamos a hacer! La pasamos muy bien mis amigas y yo.,jungle tour padrisimo todooo y el servicio de romel excelente sin duda él volveriamos a hacer él pasar mucho bien mi amiga y yo,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[10],1,[10],"[6, 10]"
Excelente experiencia,¡Impresionante! Recomendaría a cualquiera que busque explorar la laguna / alrededores de Cancún y experimentar un pequeño pedazo de cultura maya,5,2025-08-01,Cancun,Puerto Maya Cancun,Excelente experiencia. ¡Impresionante! Recomendaría a cualquiera que busque explorar la laguna / alrededores de Cancún y experimentar un pequeño pedazo de cultura maya.,experiencia impresionante recomendario a cualquiera que buscar explorar el laguna alrededor de cancun y experimentar uno pedazo de cultura,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Vida Nocturna,[4],1,"[4, 8]","[4, 8]"
Buen trato,"Muy buen tour para ir con la familia y muy buena atención del personal, de mi parte de Fernando y Enrique 👍🏻 totalmente recomendado",5,2025-08-01,Cancun,Puerto Maya Cancun,"Buen trato. Muy buen tour para ir con la familia y muy buena atención del personal, de mi parte de Fernando y Enrique 👍🏻 totalmente recomendado.",tratar mucho tour para ir con el familia y mucho atencion del de mi parte de fernando y enrique totalmente,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,[10],1,[10],[10]
Excelente experiencia ya estuvimos antes aquí y repetimos,"Excelente experiencia, nos divertimos mucho, vinimos un grupo de seis personas, ya habíamos venido antes y repetimos la verdad lo recomendamos muchísimo una experiencia inolvidable",5,2025-08-01,Cancun,Puerto Maya Cancun,"Excelente experiencia ya estuvimos antes aquí y repetimos. Excelente experiencia, nos divertimos mucho, vinimos un grupo de seis personas, ya habíamos venido antes y repetimos la verdad lo recomendamos muchísimo una experiencia inolvidable.",experiencia ya estuvir antes aqui y repetimos experiencia yo divertir mucho vinimos uno grupo de seis persona ya hab venir antes y repetimos el verdad él recomendar muchisimo uno experiencia,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[],0,[13],[13]
Actividad de Jet Sky,Súper recomendable con el amigo Bryan muy amable y súper atento con el tour de jet Sky muchas gracias y volveré…………………..,5,2025-07-01,Cancun,Puerto Maya Cancun,Actividad de Jet Sky. Súper recomendable con el amigo Bryan muy amable y súper atento con el tour de jet Sky muchas gracias y volveré…………………..,actividad de jet sky super con el amigo mucho y super con el tour de jet sky mucho gracia y volverir,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 10]"
Interesante pero muy mal trato,"El tour en las lanchas y el snorkel es interesante y divertido, sin embargo,  tuve una terrible experiencia con el capitán de las lanchas Robert. Cuando nos subimos a las lanchas hice una pregunta auténtica y se enojó conmigo porque según él no había puesto atención, él dio las instrucciones en un inglés mal pronunciado, yo entiendo inglés pero no es mi primera lengua.Al comenzar el tour estaba muy emocionada manejando pero en cierto punto empezó a regañarme de manera grosera que iba muy lento, es una experiencia que nunca había hecho, por lo que no sabía que tan rápido teníamos que ir.Seguimos y volvió a detenerme y regañarme porque no estaba cumpliendo bien la fila, ahí sí se que yo estuve mal, pero consideraba que era una fila mientras estuviéramos todos uno atrás del otro no exactamente atrás de su bote.Fue sumamente grosero, me amenazó con regresarme y acabar con mi tour sin ningún reembolso, que no era capaz de hacer las cosas y que no entendía; me tuve que cambiar de asiento con mi acompañante, fue sumamente descortés y me hizo sentir muy mal, arruinó por completo toda mi experiencia y me sentí miserable el resto del trayecto.Eramos las únicas mexicanas del tour y fuimos a las que peor nos trató.Después en el snorkel intentó ser amable pero ya era demasiado tarde, dice que es así por temas de seguridad, pero hay manera de hacer las cosas y de comunicarse, pero él manejó muy mal la situación.Es una lástima que después de tanto viaje y entusiasmo por la experiencia se arruine todo por una persona como él. Sentí que pagué por pasar una experiencia horrible. Además de eso, no hay ningún interés por la cultura y nadie sabe nada de la historia de los mayas.",2,2025-07-01,Cancun,Puerto Maya Cancun,"Interesante pero muy mal trato. El tour en las lanchas y el snorkel es interesante y divertido, sin embargo,  tuve una terrible experiencia con el capitán de las lanchas Robert. Cuando nos subimos a las lanchas hice una pregunta auténtica y se enojó conmigo porque según él no había puesto atención, él dio las instrucciones en un inglés mal pronunciado, yo entiendo inglés pero no es mi primera lengua.Al comenzar el tour estaba muy emocionada manejando pero en cierto punto empezó a regañarme de manera grosera que iba muy lento, es una experiencia que nunca había hecho, por lo que no sabía que tan rápido teníamos que ir.Seguimos y volvió a detenerme y regañarme porque no estaba cumpliendo bien la fila, ahí sí se que yo estuve mal, pero consideraba que era una fila mientras estuviéramos todos uno atrás del otro no exactamente atrás de su bote.Fue sumamente grosero, me amenazó con regresarme y acabar con mi tour sin ningún reembolso, que no era capaz de hacer las cosas y que no entendía; me tuve que cambiar de asiento con mi acompañante, fue sumamente descortés y me hizo sentir muy mal, arruinó por completo toda mi experiencia y me sentí miserable el resto del trayecto.Eramos las únicas mexicanas del tour y fuimos a las que peor nos trató.Después en el snorkel intentó ser amable pero ya era demasiado tarde, dice que es así por temas de seguridad, pero hay manera de hacer las cosas y de comunicarse, pero él manejó muy mal la situación.Es una lástima que después de tanto viaje y entusiasmo por la experiencia se arruine todo por una persona como él. Sentí que pagué por pasar una experiencia horrible. Además de eso, no hay ningún interés por la cultura y nadie sabe nada de la historia de los mayas.",pero mucho mal tratar el tour en el lancha y el snorkel ser y sin embargo tener uno experiencia con el capitan de el lancha cuando yo subir a el lancha hacer uno pregunta y él enojo yo porque segun el no habiar puesto atencion el dar el instrucción en uno ingl mal yo entender ingl pero no ser mi lengua al comenzar el tour estar mucho manejar pero en cierto punto empezo a reganar yo de manera que ir mucho ser uno experiencia que nunca habiar hecho por él que no sabio que tanto rapido teniamos que ir seguir y volvio a detenerme y reganar yo porque no estar cumplir bien el fila ahi si él que yo estar mal pero considerar que ser uno fila mientras estuvierar todo uno atra del otro no exactamente atra de su bote ser sumamente yo amenazar con regresar yo y acabar con mi tour sin ningun reembolso que no ser de hacer el cosa y que no entendiar yo tener que cambiar de asiento con mi acompanante ser sumamente y yo hacer sentir mucho mal arruino por todo mi experiencia y yo senti el resto del trayecto eramos el unica mexicano del tour y ir a el que peor yo tratar despues en el snorkel intento ser amable pero ya ser demasiado tarde decir que ser asi por tema de seguridad pero haber manera de hacer el cosa y de comunicar él pero el manejo mucho mal el uno lastima que despues de tanto viaje y entusiasmo por el experiencia él arruinar todo por uno persona como el senti que pagar por pasar uno experiencia horrible adema de ese no haber ningun inter por el cultura y nadie saber nada de el historia de el maya,Negativo,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Parques y Diversión,"[4, 10]",2,"[2, 4, 10]","[2, 4, 9, 10]"
Increíble,Mi experiencia fue increíble con Charlie. Hermosa vista. Definitivamente vendrá de nuevo. Debe experimentar una vez en la vida. Love México Cancún.,5,2025-07-01,Cancun,Puerto Maya Cancun,Increíble. Mi experiencia fue increíble con Charlie. Hermosa vista. Definitivamente vendrá de nuevo. Debe experimentar una vez en la vida. Love México Cancún.,mi experiencia ser con charlie visto definitivamente vendra de deber experimentar uno vez en el vida love cancun,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[14],1,[8],[8]
