Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia,Ciudad,Atraccion,TituloReview,Sentimiento,SentimientoHF
"""Plaza de la Constitución""","La Plaza de la Constitución,más conocida como Zócalo,es la Plaza de  Armas de la Ciudad de México;es una gran explanada,donde se encuentra el Palacio de Gobierno,la Catedral,el Museo del Templo Mayor y una estación del Metro.Es la segunda plaza más grande del mundo.¡¡No puedes perderte esta visita!!",Amigos,3,"La Serena, Chile",2024-08-06,2024-03-01,Cdmx,Zocalo De La Ciudad De Mexico,"""Plaza de la Constitución"" La Plaza de la Constitución,más conocida como Zócalo,es la Plaza de  Armas de la Ciudad de México;es una gran explanada,donde se encuentra el Palacio de Gobierno,la Catedral,el Museo del Templo Mayor y una estación del Metro.Es la segunda plaza más grande del mundo.¡¡No puedes perderte esta visita!!",Neutro,Positivo
Arquitectura increíble,"Vinimos con amigos durante la semana del orgullo todos estaban de buen humor caminamos con el enorme mar de gente desde Ángel de la independencia hasta el distrito histórico. La arquitectura en el zocolo y sus alrededores era increíble. Mucha gente vendiendo artesanía mexicana y pequeñas tiendas por todas partes vendiendo de todo, desde piedras hasta pequeños restaurantes y cafés de oro, así como vale la pena el esfuerzo de caminar por esta vasta área.",Amigos,5,"Chicago, IL",2024-07-30,2024-07-01,Cdmx,Zocalo De La Ciudad De Mexico,"Arquitectura increíble Vinimos con amigos durante la semana del orgullo todos estaban de buen humor caminamos con el enorme mar de gente desde Ángel de la independencia hasta el distrito histórico. La arquitectura en el zocolo y sus alrededores era increíble. Mucha gente vendiendo artesanía mexicana y pequeñas tiendas por todas partes vendiendo de todo, desde piedras hasta pequeños restaurantes y cafés de oro, así como vale la pena el esfuerzo de caminar por esta vasta área.",Positivo,Positivo
Zócalo sin atractivo,"Una plaza emblema de la ciudad, que debería estar despejada para disfrutar del paseo y los hermosos edificios, sin obstáculos. Ahora están carpas de remodelación y una pirámide para presentaciones, no mejora ni ayuda , quita majestad al sitio histórico. Igual fue hace algunos años cuando también visite el sitio. Las calles alrededor llenas de negocios ocupando aceras; difícil para caminar y peor para ir en vehículo",Familia,4,"Guayaquil, Ecuador",2024-07-22,2024-07-01,Cdmx,Zocalo De La Ciudad De Mexico,"Zócalo sin atractivo Una plaza emblema de la ciudad, que debería estar despejada para disfrutar del paseo y los hermosos edificios, sin obstáculos. Ahora están carpas de remodelación y una pirámide para presentaciones, no mejora ni ayuda , quita majestad al sitio histórico. Igual fue hace algunos años cuando también visite el sitio. Las calles alrededor llenas de negocios ocupando aceras; difícil para caminar y peor para ir en vehículo",Positivo,Negativo
Un lugar encantador,Este lugar sí que me encantó. Siento que estas en otra ciudad cuando conoces más del Zócalo de la ciudad. Lo mejor además es que puedes conocer parte de México porque hay muchos lugares para comer,Solitario,5,anonimo,2024-07-22,2024-02-01,Cdmx,Zocalo De La Ciudad De Mexico,Un lugar encantador Este lugar sí que me encantó. Siento que estas en otra ciudad cuando conoces más del Zócalo de la ciudad. Lo mejor además es que puedes conocer parte de México porque hay muchos lugares para comer,Positivo,Positivo
Visita obligada en el centro de la ciudad,"El zócalo siempre se mantiene actualizado con lo más representativo de cada mes. Por ejemplo,en diciembre lo puedes encontrar lleno de decoraciones navideñas o en octubre/noviembre con decoración representativa al día de muertos, también es muy común que se hagan ferias y presentaciones de todo tiempo en este lugar. Es una visita obligada si vas a la Ciudad de México.",Pareja,5,anonimo,2024-06-25,2023-10-01,Cdmx,Zocalo De La Ciudad De Mexico,"Visita obligada en el centro de la ciudad El zócalo siempre se mantiene actualizado con lo más representativo de cada mes. Por ejemplo,en diciembre lo puedes encontrar lleno de decoraciones navideñas o en octubre/noviembre con decoración representativa al día de muertos, también es muy común que se hagan ferias y presentaciones de todo tiempo en este lugar. Es una visita obligada si vas a la Ciudad de México.",Positivo,Positivo
Zoclo de la CDMX.,"Es uno de los lugares mas increibles que hay, es un lugar que vale la pena visitar, sientes una gran energia en este lugar ya que es el corazon de la ciudad, cargado de arquitectura y cultura. Es un lugar de los imperdibles.",Solitario,5,"Ciudad de México, México",2024-06-17,2024-05-01,Cdmx,Zocalo De La Ciudad De Mexico,"Zoclo de la CDMX. Es uno de los lugares mas increibles que hay, es un lugar que vale la pena visitar, sientes una gran energia en este lugar ya que es el corazon de la ciudad, cargado de arquitectura y cultura. Es un lugar de los imperdibles.",Positivo,Positivo
Genial para pasear y experimentar la vida.,"Gran plaza con asta de bandera. Las zonas de plaza siempre son interesantes. El día que fuimos, ¡maestros en huelga acampando en tiendas de campaña frente a las oficinas gubernamentales! A la vuelta de la esquina, detrás del área de estacionamiento de la catedral, hay un banco interesante en la acera, siga para ver esculturas y murales.",Amigos,4,Musicians Mum,2024-06-13,2024-05-01,Cdmx,Zocalo De La Ciudad De Mexico,"Genial para pasear y experimentar la vida. Gran plaza con asta de bandera. Las zonas de plaza siempre son interesantes. El día que fuimos, ¡maestros en huelga acampando en tiendas de campaña frente a las oficinas gubernamentales! A la vuelta de la esquina, detrás del área de estacionamiento de la catedral, hay un banco interesante en la acera, siga para ver esculturas y murales.",Positivo,Positivo
CDMX,"Esta plaza me ha impresionado, por lo grande que es, está muy bonita, se encuentra todo tipo de cosas bares restaurantes y hasta comida callejera, es muy segura hay muchos turistas y todo el mundo está turistendo, a mi me encantó!!",Familia,5,"Villa Clara Province, Cuba",2024-06-10,2024-06-01,Cdmx,Zocalo De La Ciudad De Mexico,"CDMX Esta plaza me ha impresionado, por lo grande que es, está muy bonita, se encuentra todo tipo de cosas bares restaurantes y hasta comida callejera, es muy segura hay muchos turistas y todo el mundo está turistendo, a mi me encantó!!",Positivo,Positivo
De lo mas importante de CDMX,"Enorme plaza en el Centro de Mexico, lugar de hechos historicos. Emociona saber que algunos metros mas abajo, estaba la ciudad de Tenochtitlan. Si tienen suerte, van a encontrar la plaza sin ningun evento. Frecuentemente hacen muestras o exposiciones, para lo cual instalan carpas que reducen las posibilidades de apreciarla como se debe. Los 4 costados son importantes...no se los pierdan!!",Familia,5,"Montevideo, Uruguay",2024-05-27,2024-05-01,Cdmx,Zocalo De La Ciudad De Mexico,"De lo mas importante de CDMX Enorme plaza en el Centro de Mexico, lugar de hechos historicos. Emociona saber que algunos metros mas abajo, estaba la ciudad de Tenochtitlan. Si tienen suerte, van a encontrar la plaza sin ningun evento. Frecuentemente hacen muestras o exposiciones, para lo cual instalan carpas que reducen las posibilidades de apreciarla como se debe. Los 4 costados son importantes...no se los pierdan!!",Positivo,Positivo
Gran lugar para explorar,"Explorar un lugar muy icónico con mi papá fue increíble. Tanta historia, arquitectura, lugares para comer. La catedral en sí es majestuosa. Incluso si no eres católico, te sorprenderá la historia que involucra, las pinturas antiguas y los múltiples templos dentro de la catedral. Y las excavaciones y ruinas relativamente nuevas del imperio azteca (mexicas).Tipa: a pesar de ser restaurantes en la azotea, tenga claro los precios, me estafaron.Excelente área para el cambio de divisas, si tiene billetes más grandes para cambiar, obtendrá una mejor tasa por su dinero.Ve temprano para evitar grandes multitudes y tómate al menos un día entero para caminar, tal vez me perdí ver otros lugares pero esta área es icónica.",Familia,4,"Smyrna, GA",2024-05-12,2024-05-01,Cdmx,Zocalo De La Ciudad De Mexico,"Gran lugar para explorar Explorar un lugar muy icónico con mi papá fue increíble. Tanta historia, arquitectura, lugares para comer. La catedral en sí es majestuosa. Incluso si no eres católico, te sorprenderá la historia que involucra, las pinturas antiguas y los múltiples templos dentro de la catedral. Y las excavaciones y ruinas relativamente nuevas del imperio azteca (mexicas).Tipa: a pesar de ser restaurantes en la azotea, tenga claro los precios, me estafaron.Excelente área para el cambio de divisas, si tiene billetes más grandes para cambiar, obtendrá una mejor tasa por su dinero.Ve temprano para evitar grandes multitudes y tómate al menos un día entero para caminar, tal vez me perdí ver otros lugares pero esta área es icónica.",Positivo,Positivo
Dar el grito,Dar el grito en el zocalo de la ciudad sin duda es de lo mejor. Además la gente es muy genial y la comida muy rica. Les recomiendo que sí vayan con cuidado porque hay mucha gente,Familia,5,"Ciudad de México, México",2024-05-08,2023-09-01,Cdmx,Zocalo De La Ciudad De Mexico,Dar el grito Dar el grito en el zocalo de la ciudad sin duda es de lo mejor. Además la gente es muy genial y la comida muy rica. Les recomiendo que sí vayan con cuidado porque hay mucha gente,Positivo,Positivo
sin titulo,"Una visita a la CDMX no estará completa a menos que visites el Zócalo… . Recomiendo encarecidamente visitar la zona el domingo para disfrutar al máximo…. Cuando la zona cobra vida. También recomiendo leer y mirar fotos de las secciones y del edificio antes de visitar el área, para saber cuál es cuál y cómo se llaman.",Pareja,5,El corazón de la Ciudad de México,2024-04-26,2024-04-01,Cdmx,Zocalo De La Ciudad De Mexico,"Una visita a la CDMX no estará completa a menos que visites el Zócalo… . Recomiendo encarecidamente visitar la zona el domingo para disfrutar al máximo…. Cuando la zona cobra vida. También recomiendo leer y mirar fotos de las secciones y del edificio antes de visitar el área, para saber cuál es cuál y cómo se llaman.",Positivo,Positivo
Informe Zocolo actualizado,"El área alrededor del Zócolo es segura. Un montón de policías por todas partes y mucha gente en las calles. Nos alojamos en el hotel NH a una cuadra de distancia durante una semana y nos aventuramos a visitar los lugares de interés, restaurantes y tiendas locales durante el día y temprano en la noche. Me sentí perfectamente seguro en todo momento. Hay mucho que ver aquí. Templo Mayor y su museo. La Catedral. Gran Hotel y Ayuntamiento. Lamentablemente el Palacio Nacional está cerrado por lo que no se puede ver el mural de Diego Rivera que se encuentra allí. Palacio de las Bellas Artes, Casa de los Azulejos y mucho más para ver.",Familia,4,Lorenzo,2024-04-19,2024-04-01,Cdmx,Zocalo De La Ciudad De Mexico,"Informe Zocolo actualizado El área alrededor del Zócolo es segura. Un montón de policías por todas partes y mucha gente en las calles. Nos alojamos en el hotel NH a una cuadra de distancia durante una semana y nos aventuramos a visitar los lugares de interés, restaurantes y tiendas locales durante el día y temprano en la noche. Me sentí perfectamente seguro en todo momento. Hay mucho que ver aquí. Templo Mayor y su museo. La Catedral. Gran Hotel y Ayuntamiento. Lamentablemente el Palacio Nacional está cerrado por lo que no se puede ver el mural de Diego Rivera que se encuentra allí. Palacio de las Bellas Artes, Casa de los Azulejos y mucho más para ver.",Positivo,Neutro
Zócalo es centro de mucho para disfrutar.,"Si sólo miras el Zócalo, la historia está ahí, pero también los vendedores y las molestias. Si cuentas todo el barrio, con el Templo, la Catedral, los museos, algunas tiendas bonitas y la historia que está en todas partes, la calificación aparece al instante.Es imprescindible para los sentidos.",Pareja,3,bigwavejames,2024-03-31,2024-03-01,Cdmx,Zocalo De La Ciudad De Mexico,"Zócalo es centro de mucho para disfrutar. Si sólo miras el Zócalo, la historia está ahí, pero también los vendedores y las molestias. Si cuentas todo el barrio, con el Templo, la Catedral, los museos, algunas tiendas bonitas y la historia que está en todas partes, la calificación aparece al instante.Es imprescindible para los sentidos.",Neutro,Positivo
Buena experiencia,"Siempre es bueno dar una vuelta por el Zócalo, me gusta tanto pasear por ahí. Me gusta ir a la Iglesia, al Museo del Templo Mayor, todos los museos que hay ahí.",Solitario,3,anonimo,2024-03-20,2024-02-01,Cdmx,Zocalo De La Ciudad De Mexico,"Buena experiencia Siempre es bueno dar una vuelta por el Zócalo, me gusta tanto pasear por ahí. Me gusta ir a la Iglesia, al Museo del Templo Mayor, todos los museos que hay ahí.",Neutro,Positivo
Histórico,"Hay mucha gente, aunque es impresionante estar en el Zócalo. Aunque recorrerlo es sumergirse en siglos de historia, cultura y tradición mientras admiras la majestuosidad de la Catedral Metropolitana y el Palacio Nacional.",Familia,4,anonimo,2024-02-21,2024-02-01,Cdmx,Zocalo De La Ciudad De Mexico,"Histórico Hay mucha gente, aunque es impresionante estar en el Zócalo. Aunque recorrerlo es sumergirse en siglos de historia, cultura y tradición mientras admiras la majestuosidad de la Catedral Metropolitana y el Palacio Nacional.",Positivo,Positivo
Demasiada gente,"Me encanta el Zócalo, pero siempre está llenísimo y es de entenderse, es un lugar con mucha concentración por el lugar que es, sin embargo eso hace que ir ya no sea tan agradable,a  veces no puedes ni caminar de tanta gente que hay.",Solitario,4,José L,2024-02-19,2024-01-01,Cdmx,Zocalo De La Ciudad De Mexico,"Demasiada gente Me encanta el Zócalo, pero siempre está llenísimo y es de entenderse, es un lugar con mucha concentración por el lugar que es, sin embargo eso hace que ir ya no sea tan agradable,a  veces no puedes ni caminar de tanta gente que hay.",Positivo,Neutro
sin titulo,"El Zócalo también es conocido como Plaza de la Constitución y es una visita obligada cuando lo visite. Está bordeado por la Catedral Metropolitana, el Palacio Nacional, edificios del Distrito Federal y el Antiguo Portal de Mercaderes. Es considerada la plaza principal de la ciudad. En el centro hay una gloriosa y gigantesca bandera mexicana, y la plaza es un lugar de reunión para los mexicanos. Aquí se celebran muchas celebraciones y desfiles desde hace siglos, ya que su origen se remonta al siglo XVI. Disfrutamos tomando fotos, ya que este es definitivamente un hito importante en la ciudad. Altamente recomendado como visita obligada en la Ciudad de México.",Amigos,5,Ciudad de México imperdible,2024-01-19,2024-01-01,Cdmx,Zocalo De La Ciudad De Mexico,"El Zócalo también es conocido como Plaza de la Constitución y es una visita obligada cuando lo visite. Está bordeado por la Catedral Metropolitana, el Palacio Nacional, edificios del Distrito Federal y el Antiguo Portal de Mercaderes. Es considerada la plaza principal de la ciudad. En el centro hay una gloriosa y gigantesca bandera mexicana, y la plaza es un lugar de reunión para los mexicanos. Aquí se celebran muchas celebraciones y desfiles desde hace siglos, ya que su origen se remonta al siglo XVI. Disfrutamos tomando fotos, ya que este es definitivamente un hito importante en la ciudad. Altamente recomendado como visita obligada en la Ciudad de México.",Positivo,Positivo
Sobrevalorado y promedio,"Es una plaza grande con la catedral a un lado y el gobierno. De un lado oficinas y los otros 2 lados tienen edificios con comercios. Los restaurantes están fuera de la plaza, a diferencia de la Plaza de Mayor de Madrid, donde había numerosos restaurantes dentro y alrededor de la plaza. Mucha gente dando vueltas; mucho trafico. Había bastantes artistas aztecas donde uno podía verlos o tomarse fotos con ellos. En general, es un lugar muy publicitado para visitar. Hay muchas otras atracciones en MDX donde se aprovecha bien el tiempo.",Pareja,3,"Jersey City, Nueva Jersey",2024-01-10,2023-12-01,Cdmx,Zocalo De La Ciudad De Mexico,"Sobrevalorado y promedio Es una plaza grande con la catedral a un lado y el gobierno. De un lado oficinas y los otros 2 lados tienen edificios con comercios. Los restaurantes están fuera de la plaza, a diferencia de la Plaza de Mayor de Madrid, donde había numerosos restaurantes dentro y alrededor de la plaza. Mucha gente dando vueltas; mucho trafico. Había bastantes artistas aztecas donde uno podía verlos o tomarse fotos con ellos. En general, es un lugar muy publicitado para visitar. Hay muchas otras atracciones en MDX donde se aprovecha bien el tiempo.",Neutro,Neutro
GIGANTE,"el zócalo  es de los lugares mas vibrantes que e conocido  lo tiene todo  TODO! ,  sin contar que  su tamaño es inmenso  , posee restaurantes discotecas, joyerías , artesanias   , casas de cambios  coexistiendo  sin apretarse",Familia,5,"La Paz, Bolivia",2024-01-09,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,"GIGANTE el zócalo  es de los lugares mas vibrantes que e conocido  lo tiene todo  TODO! ,  sin contar que  su tamaño es inmenso  , posee restaurantes discotecas, joyerías , artesanias   , casas de cambios  coexistiendo  sin apretarse",Positivo,Positivo
Contrata un guía,"Historia hasta donde alcanza la vista, y algo más. Nuestra experiencia no fue perfecta, pero lo que lo hubiera hecho es contratar un guía para el día. Los museos - y hay muchos - no están claramente identificados, así que fuimos a un par con el que básicamente nos topamos, pero Dios, hubiera sido maravilloso estar con alguien que conociera la zona y pudiera explicarnos cosas y guiarnos. los museos que nos interesaban. También estuvimos allí el Día de Nueva York: mala idea. El mercado, que parece ser más grande que la mayoría de las ciudades en las que he estado, es difícil de navegar y de escapar una vez que se ingresa.",Pareja,4,"Columbia Británica, Canadá",2024-01-07,2024-01-01,Cdmx,Zocalo De La Ciudad De Mexico,"Contrata un guía Historia hasta donde alcanza la vista, y algo más. Nuestra experiencia no fue perfecta, pero lo que lo hubiera hecho es contratar un guía para el día. Los museos - y hay muchos - no están claramente identificados, así que fuimos a un par con el que básicamente nos topamos, pero Dios, hubiera sido maravilloso estar con alguien que conociera la zona y pudiera explicarnos cosas y guiarnos. los museos que nos interesaban. También estuvimos allí el Día de Nueva York: mala idea. El mercado, que parece ser más grande que la mayoría de las ciudades en las que he estado, es difícil de navegar y de escapar una vez que se ingresa.",Positivo,Negativo
punto central de la ciudad,"Plaza muy bonita y grande en el centro de la ciudad, donde se reúne mucha gente, hay tiendas y restaurantes alrededor.",Amigos,5,"Varsovia, Polonia",2024-01-05,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,"punto central de la ciudad Plaza muy bonita y grande en el centro de la ciudad, donde se reúne mucha gente, hay tiendas y restaurantes alrededor.",Positivo,Positivo
Excelente lugar para turistear,"Me encanta la arquitectura en todo el centro pero el zócalo es impresionante, rodeado de edificios muy importantes!",Solitario,5,anonimo,2023-12-18,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,"Excelente lugar para turistear Me encanta la arquitectura en todo el centro pero el zócalo es impresionante, rodeado de edificios muy importantes!",Positivo,Positivo
Lleno de historia,"Me impresionó la grandeza de los edificios que lo rodean, es un lugar lleno de significado para los mexicanos, y es un honor haber tenido la oportunidad de visitarlo.",Familia,4,anonimo,2023-12-13,2023-10-01,Cdmx,Zocalo De La Ciudad De Mexico,"Lleno de historia Me impresionó la grandeza de los edificios que lo rodean, es un lugar lleno de significado para los mexicanos, y es un honor haber tenido la oportunidad de visitarlo.",Positivo,Positivo
Gran experiencia,"Mi novia y yo tuvimos un recorrido increíble por el centro de CDMX, en festejo y celebración por el 15 de septiembre. La decoración fue espectacular y el ambiente bastante bueno.",Pareja,5,anonimo,2023-11-23,2023-09-01,Cdmx,Zocalo De La Ciudad De Mexico,"Gran experiencia Mi novia y yo tuvimos un recorrido increíble por el centro de CDMX, en festejo y celebración por el 15 de septiembre. La decoración fue espectacular y el ambiente bastante bueno.",Positivo,Positivo
No me impresionó. Creo que México debería cuidar mejor su plaza central en su Ciudad Capital.,"Teníamos grandes esperanzas en el área del Zócalo de la Ciudad de México. Lamentablemente nos decepcionó la zona. Primero, los edificios de la plaza central estaban sucios, como si todos necesitaran ser limpiados con vapor. Gran parte de la Ciudad de México está tan bien cuidada que me sorprende que la plaza central tenga edificios que necesiten tanta limpieza. En segundo lugar, nos perdimos en lo que parecía un mercado interminable justo al lado de la plaza principal. Debimos haber caminado más de 10 cuadras antes de salir, sinceramente, fue un poco aterrador. Entonces, si vas al Zócalo, asegúrate de tener un muy buen plan sobre exactamente lo que quieres visitar y no te recomiendo que te alejes. En cuanto al resto de la Ciudad de México, ¡nos encantó! Visita Coyoacán.",Amigos,2,anonimo,2023-11-20,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,"No me impresionó. Creo que México debería cuidar mejor su plaza central en su Ciudad Capital. Teníamos grandes esperanzas en el área del Zócalo de la Ciudad de México. Lamentablemente nos decepcionó la zona. Primero, los edificios de la plaza central estaban sucios, como si todos necesitaran ser limpiados con vapor. Gran parte de la Ciudad de México está tan bien cuidada que me sorprende que la plaza central tenga edificios que necesiten tanta limpieza. En segundo lugar, nos perdimos en lo que parecía un mercado interminable justo al lado de la plaza principal. Debimos haber caminado más de 10 cuadras antes de salir, sinceramente, fue un poco aterrador. Entonces, si vas al Zócalo, asegúrate de tener un muy buen plan sobre exactamente lo que quieres visitar y no te recomiendo que te alejes. En cuanto al resto de la Ciudad de México, ¡nos encantó! Visita Coyoacán.",Negativo,Negativo
El corazón de la ciudad,Hermosa plaza y tuve la suerte de visitarla para las celebraciones y decoración del Día de la Muerta. Vimos la bajada de la bandera al anochecer: una ceremonia encantadora.,Solitario,5,"Chicago, IL",2023-11-18,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,El corazón de la ciudad Hermosa plaza y tuve la suerte de visitarla para las celebraciones y decoración del Día de la Muerta. Vimos la bajada de la bandera al anochecer: una ceremonia encantadora.,Positivo,Positivo
Muy movido,"Es bonito para pasear, fuimos en fin de semana y hay mucho que ver, como mini exposiciones callejeras, me agradó, pero hay demasiada gente.",Pareja,3,anonimo,2023-11-15,2023-11-01,Cdmx,Zocalo De La Ciudad De Mexico,"Muy movido Es bonito para pasear, fuimos en fin de semana y hay mucho que ver, como mini exposiciones callejeras, me agradó, pero hay demasiada gente.",Neutro,Positivo
Enorme.,"Enorme plaza con 220 metros de norte a sur y 240 metros de este a oeste, el corazón de Ciudad de México. Siempre bulliciosa, animada y escenario de eventos, como la gran ofrenda del Día de Muertos. Esta rodeada de edificios relevantes como el Palacio Nacional, la Catedral Metropolitana, el Sagrario Metropolitano, la Suprema Corte de Justicia... Merece la pena disfrutarla de día y de noche, recorrer las calles adyacentes, descubrir las tienditas del Portal de Mercaderes...",Pareja,5,"Madrid, España",2023-11-15,2023-10-01,Cdmx,Zocalo De La Ciudad De Mexico,"Enorme. Enorme plaza con 220 metros de norte a sur y 240 metros de este a oeste, el corazón de Ciudad de México. Siempre bulliciosa, animada y escenario de eventos, como la gran ofrenda del Día de Muertos. Esta rodeada de edificios relevantes como el Palacio Nacional, la Catedral Metropolitana, el Sagrario Metropolitano, la Suprema Corte de Justicia... Merece la pena disfrutarla de día y de noche, recorrer las calles adyacentes, descubrir las tienditas del Portal de Mercaderes...",Positivo,Positivo
Mágico,"Fui con mi familia al Centro de la CDMX y nos llevamos riqueza cultural, tiene mucha historia y el lugar por las tardes de los fines de semana se pone bonito.",Familia,4,Salomé M,2023-10-10,2023-07-01,Cdmx,Zocalo De La Ciudad De Mexico,"Mágico Fui con mi familia al Centro de la CDMX y nos llevamos riqueza cultural, tiene mucha historia y el lugar por las tardes de los fines de semana se pone bonito.",Positivo,Positivo
Una mezcla de edificios históricos y vendedores.,"Caminamos desde nuestro hotel (Bacelo México Reforma) hasta el Zócalo y pasamos por muchos cafés, restaurantes, atracciones y zonas comerciales antes de llegar a la plaza.Ese día hubo una protesta. Los edificios y estructuras históricos estaban rodeados por vallas de acero para protegerlos de cualquier daño.Hay muchos vendedores ambulantes que venden souvenirs y bocadillos. No son nada agresivos.",Pareja,4,Canadá,2023-10-04,2023-09-01,Cdmx,Zocalo De La Ciudad De Mexico,"Una mezcla de edificios históricos y vendedores. Caminamos desde nuestro hotel (Bacelo México Reforma) hasta el Zócalo y pasamos por muchos cafés, restaurantes, atracciones y zonas comerciales antes de llegar a la plaza.Ese día hubo una protesta. Los edificios y estructuras históricos estaban rodeados por vallas de acero para protegerlos de cualquier daño.Hay muchos vendedores ambulantes que venden souvenirs y bocadillos. No son nada agresivos.",Positivo,Positivo
Buena comida,"Estábamos pasando y tenía un 50% de descuento en la comida y el servicio fue excelente, especialmente porque tengo alergia a la leche. Margarita estuvo muy buena. Gracias, fue una gran experiencia.",Pareja,5,anonimo,2023-09-23,2023-09-01,Cdmx,Zocalo De La Ciudad De Mexico,"Buena comida Estábamos pasando y tenía un 50% de descuento en la comida y el servicio fue excelente, especialmente porque tengo alergia a la leche. Margarita estuvo muy buena. Gracias, fue una gran experiencia.",Positivo,Positivo
Magnifico e increíble,Esplendoroso y único. En su tipo. Viva mexico. Arquitectura colonial. Una gran muestra al amor al mexico moderno y contemporáneo.,Solitario,5,El gordo que B,2023-09-21,2023-02-01,Cdmx,Zocalo De La Ciudad De Mexico,Magnifico e increíble Esplendoroso y único. En su tipo. Viva mexico. Arquitectura colonial. Una gran muestra al amor al mexico moderno y contemporáneo.,Positivo,Positivo
¡¡¡¡VIVA MEXICO!!!! CIUDAD HERMOSA,"HERMOSA ARQUITECTÓNICA. EDIFICIOS, COMIDA Y PASTELES DELICIOSOS. EL CENTRO SIEMPRE OCUPADO PERO LA CIUDAD ES HERMOSA, LIMPIA Y MUCHA SEGURIDAD. ¡ME ENCANTÓ! ¡ME ENCANTÓ! ¡LO RECOMIENDO ALTAMENTE! !",Pareja,5,"Ciudad Juárez, México",2023-09-16,2022-10-01,Cdmx,Zocalo De La Ciudad De Mexico,"¡¡¡¡VIVA MEXICO!!!! CIUDAD HERMOSA HERMOSA ARQUITECTÓNICA. EDIFICIOS, COMIDA Y PASTELES DELICIOSOS. EL CENTRO SIEMPRE OCUPADO PERO LA CIUDAD ES HERMOSA, LIMPIA Y MUCHA SEGURIDAD. ¡ME ENCANTÓ! ¡ME ENCANTÓ! ¡LO RECOMIENDO ALTAMENTE! !",Positivo,Positivo
Bonito zócalo,"Un zócalo enorme con mucho que ver. El lugar está rodeado de maravillosa arquitectura, tiendas, cafés y mercados. Es el principal lugar de encuentro para los tours y de fácil acceso.",Solitario,5,"Dallas, TX",2023-08-27,2023-08-01,Cdmx,Zocalo De La Ciudad De Mexico,"Bonito zócalo Un zócalo enorme con mucho que ver. El lugar está rodeado de maravillosa arquitectura, tiendas, cafés y mercados. Es el principal lugar de encuentro para los tours y de fácil acceso.",Positivo,Positivo
Fiesta en un barco,"Tuvimos un gran recorrido de Camila que fue asistido por Santi. Hicieron un trabajo increíble de principio a fin siendo súper divertido, amable, hospitalario y animado. Sin duda recomendaría y preguntaría por ella si quieres una fiesta divertida llena de tiempo!",Amigos,5,anonimo,2025-06-22,2025-06-01,Cdmx,Jardines Flotantes De Xochimilco,"Fiesta en un barco Tuvimos un gran recorrido de Camila que fue asistido por Santi. Hicieron un trabajo increíble de principio a fin siendo súper divertido, amable, hospitalario y animado. Sin duda recomendaría y preguntaría por ella si quieres una fiesta divertida llena de tiempo!",Positivo,Positivo
sin titulo,"Nos divertimos mucho en el viaje. Los barcos están cubiertos, y todos se sientan alrededor de una mesa con aperitivos. Tenemos tres taquitos cada uno, y toneladas de tequila (vertido en nuestra boca desde una botella). Fue muy divertido pasar otros barcos y saludar. También tuvimos una doble propuesta en nuestro barco! Muy bien.",Pareja,5,¡Debo experimentar cuando visites la Ciudad de México!,2025-05-26,2025-05-01,Cdmx,Jardines Flotantes De Xochimilco,"Nos divertimos mucho en el viaje. Los barcos están cubiertos, y todos se sientan alrededor de una mesa con aperitivos. Tenemos tres taquitos cada uno, y toneladas de tequila (vertido en nuestra boca desde una botella). Fue muy divertido pasar otros barcos y saludar. También tuvimos una doble propuesta en nuestro barco! Muy bien.",Positivo,Positivo
